Date,SPY C-to-C,BAC C-to-C,SPY O-to-C,BAC O-to-C
28/09/2001,2.200668571,2.555232211,1.187005367,1.126766986
01/10/2001,-0.232602196,0.994850356,0.208818361,1.182358727
02/10/2001,1.23279216,0.969313928,1.073380114,0.335117201
03/10/2001,2.010197335,0.961063021,2.935507289,1.851183092
04/10/2001,-0.23201525,-2.048858422,-0.53244205,-1.956751752
05/10/2001,0.037253902,-4.452587291,0.708457298,-3.792953496
08/10/2001,-0.627773749,-3.60697487,-0.02909739,-2.024297473
09/10/2001,-0.563878413,-2.96261397,-0.085751558,-1.609562784
10/10/2001,2.304580448,4.32469813,2.190638471,3.38630547
11/10/2001,1.465278364,-0.327040463,-0.173711648,-1.12169092
12/10/2001,-0.491978831,-2.804216236,0.008245768,0.040268413
15/10/2001,-0.127867527,4.732822423,0.685066395,2.671999245
16/10/2001,0.702202997,3.764234394,-0.118988506,1.923826017
17/10/2001,-1.963537174,-1.023500923,-2.106238845,-1.336689659
18/10/2001,-0.604223505,0.179396931,-0.987009131,0.233573104
19/10/2001,0.344377592,-0.100767278,0.735436499,1.145833767
22/10/2001,1.576705561,2.463671381,1.631001102,1.690357417
23/10/2001,-0.457460323,0.823777442,-0.2299931,0.464177484
24/10/2001,0.035925967,1.840495426,0.303235759,0.728826008
25/10/2001,1.350964807,1.43160002,2.238032394,3.240008141
26/10/2001,0.362232866,-0.058379699,0.739779293,-0.254620398
29/10/2001,-2.275180718,-2.537461057,-1.358592389,-0.933710739
30/10/2001,-1.807667633,-0.120790284,-0.930002258,1.052999932
31/10/2001,0.082665707,-0.061756662,-0.73123825,-1.555465455
01/11/2001,2.223113324,1.587693878,2.376628624,1.634930825
02/11/2001,0.339914889,1.597495489,0.639073408,1.264030998
05/11/2001,1.420506493,0.335914752,0.096807807,-1.048907598
06/11/2001,1.525611435,1.844049644,1.608342537,0.428555586
07/11/2001,-0.293944358,1.050275878,0.213330488,1.337220385
08/11/2001,0.303589945,0.597464975,-0.57335411,-0.292299792
09/11/2001,0.151662134,-0.006614611,0.489189935,0.612789061
12/11/2001,-0.204380921,0.04096793,1.135732202,1.222579677
13/11/2001,1.933430038,0.768471388,0.604925079,-0.603325363
14/11/2001,0.228459742,0.104099871,-0.555928102,-0.680963938
15/11/2001,-0.026494864,-0.400974035,0.13812396,0.071913983
